x1,x2,x3
1.0,0.9120000000000001,0.07360555534589612
2.0,0.757,0.08680117766738217
3.0,0.659,0.12050357302217686
4.0,0.6529999999999999,0.09545796049687119
5.0,0.647,0.09534149149242421
6.0,0.577,0.06219146064997812
7.0,0.581,0.046773686809762786
8.0,0.623,0.11907513967612589
9.0,0.618,0.04984420171338332
10.0,0.617,0.0601941303893771
