0.957446809,0.957446809,0.957446809,0.85,0.9625,0.8875
0.930232558,0.906976744,0.76744186,0.9625,0.7,0.8
0.891304348,0.782608696,0.695652174,1,0.9375,0.675
0.891304348,0.891304348,1,0.875,0.825,1
1,1,0.666666667,0.975,0.975,0.8625
0.941176471,0.901960784,0.882352941,0.95,0.9375,0.9125
0.955555556,0.977777778,0.755555556,0.925,0.75,0.825
0.818181818,0.818181818,0.522727273,0.8,0.875,0.6375
0.976744186,0.813953488,0.581395349,0.975,0.9,0.7125
0.977272727,0.886363636,0.977272727,0.9625,0.9875,0.9
0.895833333,0.729166667,0.9375,0.925,0.9875,1
0.933333333,0.911111111,0.555555556,0.925,0.8875,0.65
0.978723404,0.914893617,0.808510638,0.925,0.6125,0.875
0.911111111,1,0.844444444,0.8375,0.825,0.85
1,1,0.693877551,0.975,0.5875,0.7375
0.829268293,0.951219512,0.756097561,0.925,0.95,0.825
0.936170213,0.617021277,0.978723404,1,0.8125,0.9875
0.955555556,0.911111111,0.933333333,0.9875,0.975,0.8875
0.977272727,0.977272727,0.613636364,0.975,0.9,0.7
0.954545455,0.681818182,0.977272727,0.925,0.75,1
0.951219512,0.902439024,0.682926829,0.8125,0.7625,0.6875
0.930232558,0.76744186,0.930232558,0.9375,0.8125,0.9625
0.761904762,0.880952381,0.80952381,0.9375,1,0.95
0.951219512,1,0.780487805,0.9375,0.9375,0.9
0.680851064,0.957446809,0.978723404,0.9375,0.775,1
0.979166667,0.979166667,0.916666667,0.9,0.95,0.9875
0.936170213,0.85106383,0.978723404,0.9625,0.9625,1
0.93877551,0.775510204,0.959183673,1,0.7375,0.9625
0.930232558,0.860465116,0.441860465,1,0.975,0.6875
0.822222222,0.955555556,1,0.9,0.6375,0.9625
0.880952381,0.80952381,0.952380952,0.875,0.85,1
0.956521739,0.695652174,0.913043478,0.875,0.6875,0.975
1,1,0.906976744,0.9125,0.7875,0.9875
1,1,0.731707317,0.8875,0.9,0.8875
1,0.904761905,1,0.975,0.7375,0.9625
0.791666667,0.791666667,0.979166667,0.925,0.825,1
0.902439024,1,1,0.9125,0.8375,0.95
0.957446809,0.85106383,0.808510638,0.9375,0.85,0.8125
0.957446809,0.914893617,0.893617021,0.9125,0.85,0.9
0.895833333,0.854166667,0.75,0.75,0.9125,0.75
0.854166667,0.75,0.916666667,0.8375,0.9375,0.9375
0.886363636,0.977272727,0.977272727,0.975,0.975,1
0.963636364,0.836363636,0.927272727,0.8875,1,0.8875
0.955555556,0.933333333,0.977777778,0.7875,0.875,0.9875
0.636363636,0.977272727,0.704545455,0.975,0.8625,0.75
0.934782609,0.891304348,0.847826087,0.8,0.7625,0.85
0.954545455,0.772727273,0.886363636,0.925,0.95,0.8375
0.869565217,0.630434783,1,0.875,0.95,0.975
0.92,0.96,1,0.9,0.9625,0.9625
0.790697674,0.88372093,0.953488372,0.9625,0.975,0.975
0.777777778,0.733333333,1,1,0.9625,0.975
0.911111111,0.8,1,0.925,0.875,1
0.953488372,0.720930233,0.860465116,0.975,0.9375,0.8125
0.957446809,0.957446809,0.723404255,1,1,0.8
0.959183673,0.795918367,0.489795918,0.9875,0.8125,0.625
0.818181818,1,0.772727273,0.8875,0.925,0.725
0.941176471,0.901960784,1,0.9125,0.9875,0.9875
