s1,s2,s3,c1,c2,c3,rank
1,0.860465116,0.976744186,0.9,0.9,0.9125,11
0.70212766,0.914893617,0.978723404,0.9875,0.975,0.9875,11
0.960784314,0.901960784,1,0.9625,0.9125,1,11
0.976190476,0.928571429,0.785714286,0.8125,1,0.8,11
0.952380952,0.952380952,0.619047619,0.75,0.9625,0.7375,11
0.979591837,0.836734694,0.87755102,0.8375,0.925,0.8375,11
0.909090909,0.795454545,0.818181818,0.9875,0.8125,0.8375,11
0.934782609,0.934782609,0.956521739,1,0.975,0.975,11
0.926829268,0.780487805,0.926829268,0.9,0.9625,0.9625,11
0.958333333,0.916666667,0.958333333,0.875,0.975,1,11
0.840909091,0.863636364,0.954545455,0.95,0.825,0.975,11
0.933333333,0.933333333,0.977777778,0.925,0.7,0.9875,11
0.931818182,0.681818182,0.863636364,0.95,0.9875,0.7875,11
1,0.88372093,0.930232558,0.8875,0.8,0.95,11
0.958333333,0.8125,0.854166667,0.9125,0.9125,0.7875,11
0.954545455,0.886363636,0.954545455,0.825,1,0.925,11
0.934782609,0.934782609,0.956521739,0.95,0.825,1,11
0.980392157,0.666666667,0.901960784,0.725,0.875,0.85,11
1,0.875,0.5625,0.85,0.7625,0.7375,11
0.772727273,0.977272727,0.636363636,1,0.7875,0.7625,11
0.921052632,0.921052632,0.552631579,0.975,0.95,0.7,11
0.913043478,0.891304348,0.97826087,1,0.975,0.9375,11
0.682926829,0.682926829,0.707317073,0.9,0.925,0.95,11
0.95,0.825,1,0.95,0.825,1,11
0.955555556,0.888888889,0.933333333,0.975,0.8125,0.975,11
0.923076923,0.884615385,0.980769231,1,1,0.9875,11
0.957446809,0.595744681,0.553191489,0.9375,0.975,0.65,11
0.954545455,0.886363636,0.909090909,0.925,0.9375,0.9625,11
0.923076923,0.897435897,0.846153846,1,0.9625,0.7875,11
0.96,0.82,0.78,0.8375,0.975,0.75,11
0.952380952,0.666666667,0.714285714,0.825,0.975,0.7875,11
0.795454545,0.795454545,0.636363636,0.925,0.95,0.725,11
0.976190476,0.80952381,0.928571429,0.95,0.95,0.95,11
1,0.888888889,0.733333333,0.9125,0.7625,0.8125,11
1,0.906976744,0.906976744,1,0.975,0.95,11
0.829268293,0.853658537,0.731707317,0.9375,0.875,0.775,11
0.923076923,0.871794872,0.846153846,0.925,1,0.875,11
0.930232558,0.930232558,0.953488372,0.9375,0.925,0.9625,11
0.97826087,0.956521739,0.869565217,0.9875,0.925,0.85,11
0.85106383,0.723404255,0.638297872,0.9,0.8375,0.775,11
0.916666667,0.9375,1,0.9,0.8875,0.975,11
0.916666667,0.895833333,0.583333333,0.75,0.975,0.6875,11
0.85106383,0.85106383,0.85106383,0.8875,0.9875,0.9375,11
0.979591837,0.93877551,0.714285714,0.8875,0.8,0.75,11
0.755555556,0.911111111,1,1,0.9875,0.9875,11
0.833333333,0.944444444,0.944444444,0.9375,1,0.925,11
0.880952381,0.952380952,0.976190476,0.8625,0.9125,0.9625,11
0.958333333,0.833333333,0.979166667,0.85,0.9,1,11
0.875,0.895833333,1,0.9875,0.9,1,11
0.955555556,0.955555556,0.933333333,0.9875,0.9625,0.9875,11
0.957446809,0.85106383,0.914893617,0.9,0.7125,0.95,11
1,0.857142857,0.952380952,0.9,1,0.9625,11
0.959183673,0.93877551,0.87755102,0.9875,0.9875,0.8,11
0.886363636,0.931818182,0.613636364,0.925,0.9875,0.7375,11
0.926829268,0.804878049,0.902439024,0.925,0.975,0.8375,11
