n,m,k,e,eta,max_round,subsize,score
100,100,1,5,0.1,5000,4,0.8
100,100,1,5,0.1,5000,4,0.95
100,100,1,5,0.1,5000,4,0.9
100,100,1,5,0.1,5000,4,0.99
100,100,1,5,0.1,5000,4,0.97
100,100,1,5,0.1,5000,4,0.96
100,100,1,5,0.1,5000,4,0.96
100,100,1,5,0.1,5000,4,0.97
100,100,1,5,0.1,5000,4,0.97
100,100,1,5,0.1,5000,4,0.83
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,0.92
100,100,1,5,0.1,5000,4,0.85
100,100,1,5,0.1,5000,4,0.97
100,100,1,5,0.1,5000,4,0.85
100,100,1,5,0.1,5000,4,0.92
100,100,1,5,0.1,5000,4,0.92
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,0.85
100,100,1,5,0.1,5000,4,0.95
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,0.92
100,100,1,5,0.1,5000,4,0.81
100,100,1,5,0.1,5000,4,0.9
100,100,1,5,0.1,5000,4,0.99
100,100,1,5,0.1,5000,4,0.91
100,100,1,5,0.1,5000,4,0.82
100,100,1,5,0.1,5000,4,0.97
100,100,1,5,0.1,5000,4,0.98
100,100,1,5,0.1,5000,4,0.96
100,100,1,5,0.1,5000,4,0.82
100,100,1,5,0.1,5000,4,0.95
100,100,1,5,0.1,5000,4,0.9
100,100,1,5,0.1,5000,4,0.83
100,100,1,5,0.1,5000,4,0.86
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,0.92
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,0.86
100,100,1,5,0.1,5000,4,0.94
100,100,1,5,0.1,5000,4,0.95
100,100,1,5,0.1,5000,4,0.87
100,100,1,5,0.1,5000,4,0.82
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,0.86
100,100,1,5,0.1,5000,4,0.92
100,100,1,5,0.1,5000,4,0.82
100,100,1,5,0.1,5000,5,0.85
100,100,1,5,0.1,5000,5,0.86
100,100,1,5,0.1,5000,5,0.7
100,100,1,5,0.1,5000,5,0.99
100,100,1,5,0.1,5000,5,0.95
100,100,1,5,0.1,5000,5,0.92
100,100,1,5,0.1,5000,5,0.82
100,100,1,5,0.1,5000,5,0.83
100,100,1,5,0.1,5000,5,0.95
100,100,1,5,0.1,5000,5,0.73
100,100,1,5,0.1,5000,5,0.92
100,100,1,5,0.1,5000,5,0.96
100,100,1,5,0.1,5000,5,0.92
100,100,1,5,0.1,5000,5,0.82
100,100,1,5,0.1,5000,5,0.91
100,100,1,5,0.1,5000,5,0.91
100,100,1,5,0.1,5000,5,0.92
100,100,1,5,0.1,5000,5,0.83
100,100,1,5,0.1,5000,5,0.88
100,100,1,5,0.1,5000,5,0.97
100,100,1,5,0.1,5000,5,0.97
100,100,1,5,0.1,5000,5,0.92
100,100,1,5,0.1,5000,5,0.82
100,100,1,5,0.1,5000,5,0.88
100,100,1,5,0.1,5000,5,0.82
100,100,1,5,0.1,5000,5,0.84
100,100,1,5,0.1,5000,5,0.95
100,100,1,5,0.1,5000,5,0.92
100,100,1,5,0.1,5000,5,0.91
100,100,1,5,0.1,5000,5,0.88
100,100,1,5,0.1,5000,5,0.89
100,100,1,5,0.1,5000,5,0.78
100,100,1,5,0.1,5000,5,0.67
100,100,1,5,0.1,5000,5,0.95
100,100,1,5,0.1,5000,5,0.85
100,100,1,5,0.1,5000,5,0.86
100,100,1,5,0.1,5000,5,0.92
100,100,1,5,0.1,5000,5,0.87
100,100,1,5,0.1,5000,5,0.78
100,100,1,5,0.1,5000,5,0.95
100,100,1,5,0.1,5000,5,1
100,100,1,5,0.1,5000,5,0.7
100,100,1,5,0.1,5000,5,0.92
100,100,1,5,0.1,5000,5,0.87
100,100,1,5,0.1,5000,5,0.85
100,100,1,5,0.1,5000,5,0.96
100,100,1,5,0.1,5000,5,0.95
100,100,1,5,0.1,5000,5,0.92
100,100,1,5,0.1,5000,5,0.87
100,100,1,5,0.1,5000,5,0.89
100,100,1,5,0.1,5000,6,0.85
100,100,1,5,0.1,5000,6,0.87
100,100,1,5,0.1,5000,6,0.81
100,100,1,5,0.1,5000,6,0.86
100,100,1,5,0.1,5000,6,0.95
100,100,1,5,0.1,5000,6,0.87
100,100,1,5,0.1,5000,6,0.89
100,100,1,5,0.1,5000,6,0.97
100,100,1,5,0.1,5000,6,1
100,100,1,5,0.1,5000,6,0.83
100,100,1,5,0.1,5000,6,0.82
100,100,1,5,0.1,5000,6,0.92
100,100,1,5,0.1,5000,6,0.95
100,100,1,5,0.1,5000,6,0.98
